system:index,BG,BU,C,F,G,SI,SS,T,W,first,lat,lc,long,seqnum,.geo
0_000000000000000014e3,2126568,7145,5705,242,5,49,997,7,522424,3,23.974216368174805,dw,37.389812984398326,2227.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000135a,7617714,31,363,0,0,0,9,0,0,3,22.989818779014676,dw,24.08886241049551,1834.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000012f1,28300,229335,114139,1075,2106,761,477331,636747,4754859,8,37.96952366240917,dw,24.99310667924785,1729.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001340,7891504,0,2,0,0,0,0,0,0,3,27.292532980363788,dw,24.78180624326164,1808.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014cb,1701037,572971,2290830,34083,2032,172,17185,45449,828769,8,31.12589014982892,dw,31.652384823678453,2203.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001505,2223035,339064,4376814,3269,29268,110025,1438484,496211,83889,4,39.58851361322578,dw,33.96483835748961,2261.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151c,8063839,12499,16160,120,35,3,644,15,421,3,29.950046792532063,dw,40.73511655663073,2284.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001325,8055423,5,276,1,0,1,111,0,1413,3,29.495624963151798,dw,23.614251567291944,1781.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001507,2836,25445,29842,2,7130,294,20442,75485,182429,8,44.08665935992824,dw,31.838874581136352,2263.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151f,3163169,358820,3783682,3815,4746,783,906805,285052,265351,4,36.923175684548326,dw,38.200311274262546,2287.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000130c,46336,94094,92477,11,389,389,433595,275563,3520432,8,35.79232396217201,dw,26.256252311960612,1756.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001377,7676446,2320,50204,6,4,3,944,213,493,3,24.882581192188017,dw,28.75975381638381,1863.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001503,1503987,523608,1432440,2827,1599,34,561149,608372,549382,2,35.02087457901839,dw,35.91686621155021,2259.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000153a,5337875,117770,2509908,405,105,89,570788,103088,77970,8,36.446314863770986,dw,41.39580093436454,2314.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014c9,5023090,47197,162327,1307,99,194,271,331,779111,3,26.61269811726308,dw,33.598149820031246,2201.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014d0,19075,329441,3045510,2198,501275,2909,699493,4692254,173039,2,42.190142886937466,dw,25.838876741171813,2208.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001502,5998518,448267,1244954,1119,960,25,462900,147992,31033,3,32.72211208001137,dw,36.839737263303064,2258.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001522,10438,16337,57362,19,14937,70,48156,157249,373822,2,43.799930555714816,dw,35.47515751037879,2290.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000135d,7365493,78802,521293,1974,100,2,2360,5026,54143,3,29.13969491937193,dw,29.647592824464773,1837.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000151e,8261386,27063,169429,1463,309,9,46433,979,12809,4,34.60157100642988,dw,39.06313473109428,2286.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000153b,2022024,255680,3325193,2785,153548,2001,2320670,742988,171841,4,38.78594194387738,dw,40.6200705123653,2315.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001500,7936469,1645,12437,0,31,1,699,1,41,3,28.117094467301715,dw,38.59873816555289,2256.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014ff,7587546,15829,167705,1,4,0,3634,5,15925,3,25.819711123766567,dw,39.44143987176238,2255.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014eb,20815,217237,305933,560,40048,94,44583,872756,810650,8,42.066467372579666,dw,29.402388214790648,2235.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014ca,7098629,11600,24517,115,74,35,1187,849,873044,3,28.87224236444481,dw,32.64663937014003,2202.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001521,59732,192007,941935,4158,120864,444,692496,2254916,607046,8,41.52811460859169,dw,36.40912501732666,2289.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001539,7899472,45008,119328,2275,554,0,20003,5250,376942,3,34.097846768529905,dw,42.17077733205292,2313.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001376,7598618,1,10851,0,0,0,0,0,0,3,22.837265158410958,dw,26.913768276128742,1862.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014ea,875874,383229,2324144,1616,121555,709,1663933,3518841,223475,8,39.846614888505975,dw,30.571185559418517,2234.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014d1,10505,652801,4660268,2709,669078,15822,174771,3477631,140511,4,44.3373324824595,dw,24.456310142289475,2209.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000014e7,8583,141290,104914,145,265,6,60866,101952,242385,8,33.086555680069175,dw,33.740788217936675,2231.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000001558,383461,336956,1003540,1894,1533621,295076,330008,4510152,313605,2,42.9005604795533,dw,42.61213066593959,2344.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000135c,7860941,62,17799,185,32,3,134,6,170,3,27.12109646130962,dw,27.727652666877873,1836.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
